,name,first_week,boxoffice,type,duration,release_time,technology,location,director,director_link,actor,production_company,issuing_company
0,上善若水,,502.8,剧情,,2000-12-2,2D,中国,武洪武 Hongwu Wu,http://www.cbooo.cn/p/1866365,胡红城 Hongcheng Hu;;;端木新卉 Xinhui Duanmu;;;王虎城 Hucheng Wang;;;宋珂欣 Kexin Song,,
1,生死抉择,,11659.0,剧情,162,2000-6-21,2D,中国,于本正 Benzheng Yu,http://www.cbooo.cn/p/4703,王庆祥 Qingxiang Wang;;;廖京生 Jingsheng Liao;;;左翎 Ling Zuo;;;王振荣 Zhenrong Wang;;;雷明 Ming Lei;;;张弘 Hong Zhang,;;;上海电影制片厂 Shanghai Film Studio,;;;上海电影股份有限公司影视发行分公司 Eastern Mordor
2,幸福时光,3.0,505.7,喜剧,102,2000-12-31,2D,中国,张艺谋 Yimou Zhang,http://www.cbooo.cn/p/1947,赵本山 Benshan Zhao;;;董洁 Jie Dong;;;董立范 Lifan Dong;;;傅彪 Biao Fu;;;李雪健 Xuejian Li;;;牛犇 Ben Niu;;;张洪杰 Hongjie Zhang;;;孙红雷 Honglei Sun,;;;广西电影制片厂 Guangxi Film Studio;;; Xin Huamian Film;;; Zhuhai Zhenrong Co.,";;;二十世纪福斯意大利分公司 20th Century Fox Italia;;;二十世纪福斯荷兰分公司 20th Century Fox Netherlands;;;二十世纪福斯德国分公司 20th Century Fox of Germany;;; Diaphana Films;;; Fox-Warner;;; Gemini Film;;; Mongrel Media;;;索尼经典影业公司 Sony Pictures Classics;;;20世纪福斯家庭娱乐电影公司 20th Century Fox Home Entertainment;;;北京新画面影业有限公司 Beijing New Pictures Co.,Ltd"
3,走出硝烟的女神,,1.8,剧情,,2000-7-26,2D,中国,王薇 Wei Wang,http://www.cbooo.cn/p/1867754,宋春丽 Chunli Song;;;吴京安 Jingan Wu;;;剧雪 Xue Ju;;;王茜华 Qianhua Wang;;;施京明 Jingming Shi,,
4,过年回家,,0.4,剧情,Italy:90,2000-9-28,2D,意大利/中国,张元 Yuan Zhang,http://www.cbooo.cn/p/715,刘琳 Lin Liu;;;李冰冰 Bingbing Li;;;李野萍 Yeding Li;;;梁松 Song Liang;;;李芸 Yun Li,;;; Fondazione MonteCinemaVerit&#224; Locarno;;; Fabrica;;; Keetman Limited;;; Rai Cinemafiction;;; The Swiss Agency for Development &#38; Cooperation;;; United Colors of Benetton,";;; Kino Video;;; Istituto Luce;;; K2 Entertainment;;;北京紫禁城三联影视发行有限公司 Beijing Forbidden City Sanlian Distribution Co.,Ltd"
5,紧急迫降,,500.0,动作,USA:114,2000-1-7,2D,中国,张建亚 Jianya Zhang,http://www.cbooo.cn/p/83,邵兵 Bing Shao;;;尤勇智 Yongzhi You;;;徐帆 Fan Xu;;;池华琼 Huaqiong Chi;;;张康尔 Kanger Zhang;;;魏宗万 Zongwan Wei;;;白穆 Mu Bai,;;;上海电影制片厂 Shanghai Film Studio,;;;上海电影股份有限公司影视发行分公司 Eastern Mordor
6,马可波罗回香都,,200.2,动画,82,2000-6-29,2D,美国/斯洛伐克/中国,Ron Merk,http://www.cbooo.cn/p/7259,尼古拉斯·冈萨雷斯 Nicholas Gonzalez (voice),;;; The Tooniversal Company,;;; KOAN;;;中国电影集团公司 China Film Group Corporation
7,西洋镜,1.0,200.1,爱情,Canada:116,2000-3-2,2D,中国/德国/中国台湾/美国,胡安 Ann Hu,http://www.cbooo.cn/p/7338,杰瑞德·哈里斯 Jared Harris;;;夏雨 Yu Xia;;;刘佩琦 Liu Peiqi;;;吕丽萍 Liping Lu;;;王景明 Jingming Wang;;;李玉生 Yusheng Li;;;慕岐 Qi Mu;;;方青卓 Qingzhuo Fang;;;李滨 Bin Li,;;;北京电影制片厂 Beijing Film Studio;;; C &#38; A Productions;;; Central Motion Pictures Corporation;;; China Film;;; Filmstiftung Nordrhein-Westfalen;;; Post Production Playground;;; Road Movies Vierte Produktionen;;; Schulberg Productions;;; Taiwan Central Motion Picture Corporation,";;; GAGA Communications;;;索尼经典影业公司 Sony Pictures Classics;;;北京紫禁城三联影视发行有限公司 Beijing Forbidden City Sanlian Distribution Co.,Ltd"
8,卧虎藏龙,66.0,1000.0,武侠/动作,120,2000-10-18,2D,中国台湾/中国香港/美国/中国,李安 Ang Lee,http://www.cbooo.cn/p/10218,周润发 Yun-Fat Chow;;;杨紫琼 Michelle Yeoh;;;章子怡 Ziyi Zhang;;;张震 Zhen Zhang;;;郑佩佩 Pei-pei Cheng;;;李法曾 Fa Zeng Li;;;高西安 Xian Gao;;;李力 Li Li;;;黄素影 Suying Huang;;;李凯 Kai Li;;;徐成林 Cheng Lin Xu;;;林峯 Raymond Lam;;;王文升 Wen Sheng Wang;;;邱心志 Xin-zhi Qiu;;;黄奕 Crystal Huang;;;何润东 Peter Ho;;;蒋勤勤 Qinqin Jiang,";;; Asia Union Film &#38; Entertainment Ltd.;;;中国电影合作制片公司 China Film Co-Production Corporation;;;哥伦比亚电影制作（亚洲）有限公司 Columbia Pictures Film Production Asia;;; Good Machine;;;索尼经典影业公司 Sony Pictures Classics;;; United China Vision;;;纵横国际影视股份有限公司 Zongheng International Film&TV Co,.Ltd",";;;华纳兄弟电影公司 Warner Bros Pictures;;;索尼电影娱乐公司 Sony Pictures Entertainment;;;安乐影片有限公司 EDKO Film Co.,Ltd;;; Arthaus Filmverleih;;; Indies Film Distribution;;; Columbia TriStar Films de Argentina;;; Laurenfilm;;; Blackwatch Releasing;;;索尼经典影业公司 Sony Pictures Classics;;; Continental Film;;; Columbia TriStar Home Entertainment;;; Columbia TriStar Home Entertainment;;; Columbia TriStar Home Video;;; Columbia TriStar Home Video;;; Falcon;;; Fox Network;;; Kinowelt Home Entertainment;;; LK-TEL;;; Yorin;;;北京紫禁城三联影视发行有限公司 Beijing Forbidden City Sanlian Distribution Co.,Ltd"
9,一声叹息,,2800.0,爱情/剧情,111,2000-9-15,2D,中国,冯小刚 Xiaogang Feng,http://www.cbooo.cn/p/455,张国立 Guoli Zhang;;;刘蓓 Bei Liu;;;徐帆 Fan Xu;;;傅彪 Biao Fu,;;; Beijing Films Production Inc.,";;;北京紫禁城三联影视发行有限公司 Beijing Forbidden City Sanlian Distribution Co.,Ltd"
10,大惊小怪,,200.0,喜剧,,2000-12-28,2D,中国,丁晟 Sheng Ding,http://www.cbooo.cn/p/14253,刘金山 Jinshan Liu;;;袁莉 Li Yuan;;;张世 Shi Zhang,,;;;中国电影集团公司 China Film Group Corporation
11,漂亮妈妈,,,剧情,Germany:90,2000-4-28,,中国,孙周 Zhou Sun,http://www.cbooo.cn/p/2394,巩俐 Li Gong;;;高鑫 Xin Gao;;;施京明 Jingming Shi;;;管乐 Yue Guan;;;岳秀清 Xiuqing Yue;;;李诚儒 Chengru Li;;;吕丽萍 Liping Lu;;;雷恪生 Kesheng Lei;;;林清 Qing Lin;;;高泓贤 Hongxian Gao;;;王千源 Qianyuan Wang,,";;; Helkon Filmverleih GmbH;;; Pyramide Distribution;;;北京华亿联盟文化传媒投资有限公司 Beijing Huayi alliance culture media Investment Co., Ltd."
12,说好不分手,,,剧情,98分钟,2000-2-14,,中国,费明 Ming Fei,http://www.cbooo.cn/p/11219,濮存昕 Cunxin Pu;;;陶虹 Hong Tao;;;许晴 Summer Xu,;;;上海永乐影视集团 Shanghai Yongle Entertainment Group,";;;上海电影（集团）有限公司 Shanghai Film Group Co.,Ltd"
13,相伴永远,,,主旋律,120,2000-8-25,,中国,丁荫楠 Yinnan Ding,http://www.cbooo.cn/p/2357,王学圻 Xueqi Wang,;;;北京电影制片厂 Beijing Film Studio;;;国家新闻出版广电总局电影卫星频道节目制作中心 China Movie Channel SARFT,;;; CCTV Movie Channel;;;中国电影集团公司 China Film Group Corporation
14,大进军——大战宁沪杭,,,战争,,2000-3-27,,中国,"韦廉 Lian Wei,石伟 Wei Shi,小江 Jiang Xiao","http://www.cbooo.cn/p/11477,http://www.cbooo.cn/p/1868755,http://www.cbooo.cn/p/7432",古月 Gu Yue;;;卢奇 Qi Lu,;;;八一电影制片厂 Bayi Film Studio,
0,走出西柏坡,,37.8,剧情,,2001-9-7,2D,中国,李歇浦 Xiepu Li,http://www.cbooo.cn/p/2066,陈大卫 Dawei Chen;;;古月 Gu Yue;;;孙海英 Haiying Sun,;;;上海电影制片厂 Shanghai Film Studio,
1,小虎斑斑,,100.9,动画,122分钟,2001-7-13,2D,中国,"韩波 Bo Han,刘蕙中 Huizhong Liu","http://www.cbooo.cn/p/1868568,http://www.cbooo.cn/p/1868569",,;;;中国电影集团公司 China Film Group Corporation;;;中国儿童电影制片厂 China Children's Film Studio,
2,大腕,0.0,4300.4,喜剧,100,2001-12-21,2D,中国/中国香港,冯小刚 Xiaogang Feng,http://www.cbooo.cn/p/455,葛优 You Ge;;;关之琳 Rosamund Kwan;;;唐纳德·萨瑟兰 Donald Sutherland;;;英达 Da Ying;;;保罗·马佐斯基 Paul Mazursky;;;王宝强 Baoqiang Wang;;;陶泽如 Zeru Tao;;;张涵予 Hanyu Zhang,";;;美国哥伦比亚影业公司 Columbia Pictures Industries, Inc.;;; 北京华谊兄弟广告有限公司 Beijing HY.Brothers Advertising Co.,Ltd;;; Taihe Film Investment Co. Ltd.",";;; Columbia TriStar Films de Argentina;;; Columbia TriStar Italia;;; Columbia TriStar;;; LK-TEL;;;索尼经典影业公司 Sony Pictures Classics;;;索尼电影娱乐公司 Sony Pictures Entertainment;;;北京太合环球影业投资有限公司 Beijing Taihe Huanqiu Pictures Investment Co.,Ltd"
3,刮痧,,800.0,剧情,,2001-3-8,2D,中国,郑晓龙 Xiaolong Zheng,http://www.cbooo.cn/p/2022,梁家辉 Tony Leung Ka Fai;;;蒋雯丽 Wenli Jiang;;;朱旭 Xu Zhu;;;乔·梅 Jo Mei,";;;北京紫禁城影业有限责任公司 Beijing Forbidden City Pictures Co.,Ltd",";;;北京紫禁城三联影视发行有限公司 Beijing Forbidden City Sanlian Distribution Co.,Ltd"
4,谁说我不在乎,,600.0,喜剧,110,2001-7-5,2D,中国,黄建新 Jianxin Huang,http://www.cbooo.cn/p/657,冯巩 Gong Feng;;;李小萌 Xiaoming Li;;;吕丽萍 Liping Lu;;;冯小刚 Xiaogang Feng;;;牛振华 Zhenhua Niu;;;王志文 Zhiwen Wang,";;;北京紫禁城影业有限责任公司 Beijing Forbidden City Pictures Co.,Ltd;;;西安电影制片厂有限公司 Xian Film Studio;;; Xian Ginwa Film Co.",";;;;;; 北京紫禁城三联影视发行有限公司 Beijing Forbidden City Sanlian Distribution Co.,Ltd"
5,我的兄弟姐妹,,2300.2,剧情/亲情,95,2001-6-13,2D,中国,俞钟 Zhong Yu,http://www.cbooo.cn/p/12970,崔健 Jian Cui;;;姜武 Wu Jiang;;;梁咏琪 Gigi Leung;;;夏雨 Yu Xia;;;张健新 Jianxin Zhang,,;;; Cinema Parisien Inc.;;; Wise Policy;;;博纳影业集团股份有限公司 Bona Film Group
6,夏日暖洋洋,,0.1,剧情,97,2001-9-30,2D,中国,宁瀛 Ying Ning,http://www.cbooo.cn/p/6424,余雷 Lei Yu;;;左夏初 Xia-chu Zuo;;;陶红 Hong Tao;;;刘淼 Miao Liu,";;; Eurasia Communications;;;北京幸福村文化交流有限公司 Beijing Xingfucun Cultural Exchange Co.,Ltd",;;; Connaissance du Cin&#233;ma;;;中国电影集团公司 China Film Group Corporation
7,宇宙与人,,0.1,纪录片,60分钟,2001-2-28,2D,中国,忻迎一 Yingyi Xin,http://www.cbooo.cn/p/1868168,,;;;北京科学教育电影制片厂 Beijing Science Education Film Studios;;; 国家新闻出版广电总局电影卫星频道节目制作中心 China Movie Channel SARFT,;;;北京科学教育电影制片厂 Beijing Science Education Film Studios
8,毛泽东与斯诺,,,剧情,,2001-6-3,2D,中国,"宋江波 Jiangbo Song,王学新 Xuexin Wang","http://www.cbooo.cn/p/13913,http://www.cbooo.cn/p/504",古月 Gu Yue;;;约翰·嘉德那 John Gardner;;;苏林 Lin Su;;;王霙 Yin Wang;;;庞顺 Shun Pang,";;;长春电影制片厂 Changchun Film Studio;;;江西电影制片厂 Jiangxi Film Studio;;;九江长江影视制作有限公司 Jiujiang Changjiang Production Co.,Ltd",;;;中国电影集团公司 China Film Group Corporation
9,龙凤斗智蟠龙坊,,0.2,喜剧,,2001-4-13,2D,中国,张明禄 Minglu Zhang,http://www.cbooo.cn/p/1862918,刘恺威 Hawick Lau;;;梁小冰 Siu-bing Leung;;;虞梦 Meng Yu;;;孔斐 Fei Kong,;;;峨眉电影制片厂 Emei Film Studio,;;;成都环球影视 Chengdu Universal Film & TV
10,绝对情感,,400.0,爱情,,2001-12-7,2D,中国,曹保平 Baoping Cao,http://www.cbooo.cn/p/1862269,刘蓓 Bei Liu;;;袁莉 Li Yuan;;;尤勇智 Yongzhi You;;;王学兵 Xuebing Wang,";;;北京新影联影业有限责任公司 Beijing New Film Association Co,.Ltd",";;;北京紫禁城三联影视发行有限公司 Beijing Forbidden City Sanlian Distribution Co.,Ltd"
11,考试一家亲,,,喜剧,China:100,2001-1-22,,中国,阿甘 Agan,http://www.cbooo.cn/p/128,傅彪 Biao Fu;;;宋丹丹 Dandan Song,;;;上海永乐影视集团 Shanghai Yongle Entertainment Group;;;云南民族电影制片厂 Yunnan National Film Studios,;;;深圳凌骏 Shenzhen Lingjun
12,葵花劫,,,战争,90,2001-9-18,,中国,蒋钦民 Qinmin Jiang,http://www.cbooo.cn/p/5465,丁海峰 Haifeng Ding;;;王澜 Lan Wang;;;王学圻 Xueqi Wang;;;张慧科 Huike Zhang;;;平田满 Mitsuru Hirata;;;绪形直人 Naoto Ogata;;;王兰 Lan Wang;;;山口马木也 Makiya Yamaguchi,;;;西安电影制片厂有限公司 Xian Film Studio,;;;中国电影集团公司 China Film Group Corporation
13,蓝色爱情,,,爱情,Egypt:97,2001-9-19,,中国,霍建起 Jianqi Huo,http://www.cbooo.cn/p/2355,潘粤明 Yueming Pan;;;滕汝骏 Rujun Teng;;;袁泉 Quan Yuan,;;;北京电影制片厂 Beijing Film Studio;;;中国电影集团公司 China Film Group Corporation,
14,庭院里的女人,1.0,,爱情,116,2001-4-20,,中国/美国,严浩 Ho Yim,http://www.cbooo.cn/p/9237,威廉·达福 Willem Dafoe;;;约翰·赵 John Cho;;;丁一 Yi Ding;;;陈姝 Shu Chen;;;潘恒生 Hang-Sang Poon;;;金舸 Ge Jin;;;张璋 Zhang Zhang;;;苏政 Zheng Su;;;张华 Hua Zhang;;;杨蓉 Rong Yang;;;张磊 Lei Zhang;;;陈颖 Yin Chen;;;刘春林 Chun Lin Liu;;;罗燕 Yan Luo,;;;北京电影制片厂 Beijing Film Studio;;;中国电影合作制片公司 China Film Co-Production Corporation,";;; Universal Studios;;; Argentina Video Home;;; LK-TEL;;; United International Pictures (UIP);;;联合国际影业公司 United International Pictures (UIP);;; United International Pictures (UIP);;; United International Pictures;;; Universal Focus;;; Universal Studios Home Video;;;蒙斯通国际文化娱乐有限公司 Mengsitong International Culture Entertainment Co.,LTD"
15,蜀山传,,,武侠,104,2001-8-14,,中国香港/中国,徐克 Hark Tsui,http://www.cbooo.cn/p/1200,郑伊健 Ekin Cheng;;;张柏芝 Cecilia Cheung;;;古天乐 Louis Koo;;;谭耀文 Patrick Tam;;;林熙蕾 Kelly Lin;;;洪金宝 Sammo Hung;;;章子怡 Ziyi Zhang;;;吴京 Jing Wu,";;;中国电影合作制片公司 China Film Co-Production Corporation;;;中国星电影有限公司 China Star Film Co.,Ltd;;;  Distant Horizons;;;电影工作室有限公司 Film Workshop Co.,Ltd;;; One Hundred Years of Film Company;;; Youth Film Studio",";;; Buena Vista International;;;中国星电影有限公司 China Star Film Co.,Ltd;;;  Cinestar;;; DeA Planeta Home Entertainment;;; Europa Filmes;;; EuropaCorp. Distribution;;; Highlight Film;;;米拉麦克斯 Miramax Films;;;上海创意星 Shanghai Chuang Yi Xing"
16,谁来倾听,,,剧情,China:90,2001-6-9,,中国,夏钢 Gang Xia,http://www.cbooo.cn/p/1868385,史可 Ke Shi,;;;中国电影集团公司 China Film Group Corporation,
17,一百个,,,喜剧/剧情,China:85,2001-11-22,,中国,滕华弢 Hua-Tao Teng,http://www.cbooo.cn/p/13787,陈建斌 Jianbin Chen;;;迟佳 Jia Chi;;;崔林 Lin Cui;;;傅彪 Biao Fu;;;姜武 Wu Jiang;;;佟大为 Dawei Tong;;;吴樾 Yue Wu,;;;北京电影制片厂 Beijing Film Studio;;;中国电影集团公司 China Film Group Corporation,
18,紫日,,,战争,120,2001-5-17,,中国,冯小宁 Xiaoning Feng,http://www.cbooo.cn/p/3754,安娜·捷尼拉洛娃 Anna Dzenilalova;;;富大龙 Dalong Fu;;;前田知惠 Chie Maeda;;;王学伟 Xuewei Wang,";;;北京紫禁城影业有限责任公司 Beijing Forbidden City Pictures Co.,Ltd;;;上海永乐影视集团 Shanghai Yongle Entertainment Group",";;;北京紫禁城三联影视发行有限公司 Beijing Forbidden City Sanlian Distribution Co.,Ltd"
19,真味小厨王,,,喜剧,90分钟,2001-1-20,,中国/中国香港,夏秀轩 Sau-Hin Ha,http://www.cbooo.cn/p/1862674,释小龙 Siu Lung Sik;;;吴孟达 Man Tat Ng;;;刘锡贤 Shek Yin Lau;;;关礼杰 Eddie Kwan;;;林志豪 Chi-ho Lam,;;;北京电影学院青年电影制片厂 Beijing Film Academy Youth Film Studio;;;玮骏娱乐制作公司 Weijun Entertainment Production Company,;;;博纳影业集团股份有限公司 Bona Film Group
20,毛泽东在一九二五,,,,,2001-6-3,,中国,张今标 Jinbiao Zhang,http://www.cbooo.cn/p/5382,王霙 Yin Wang;;;涓子 Zi Juan;;;李维民 Weimin Li;;;张小波 Xiaobo Zhang;;;陈大位 Dawei Chen;;;陈创 Chuang Chen;;;田雨 Yu Tian;;;王鸣 Ming Wang,;;;潇湘电影集团 Xiaoxiang Film Group,;;;中国电影集团公司 China Film Group Corporation
21,滴血的秘密,,,动作,,2001-6-12,,中国,杨鸣健 Mingjian Yang,http://www.cbooo.cn/p/1868629,吕良伟 Ray Lui;;;黄秋生 Anthony Wong;;;卢燕 Lisa Lu,;;;天山电影制片厂 Tianshan Film Studio,;;;上海永乐股份有限公司 Shanghai Paradise Corporation Co. Ltd
22,防守反击,,,爱情,88,2001-12-31,,中国,梁天 Tian Liang,http://www.cbooo.cn/p/2220,曾志伟 Eric Tsang;;;李湘 Xiang Li;;;李诚儒 Chengru Li;;;刘金山 Jinshan Liu;;;洪剑涛 Jiantao Hong,";;;北京电影制片厂 Beijing Film Studio;;;华谊兄弟传媒股份有限公司 Huayi Brothers Media Group Co.,Ltd",;;;中国电影集团公司 China Film Group Corporation
23,芬芳誓言,,,剧情,100分钟,2001-6-4,,中国,王晓棠 Xiaotang Wang,http://www.cbooo.cn/p/849,蒋文良 Wenliang Jiang;;;戴佩华 Peihua Dai,,";;;北京紫禁城三联影视发行有限公司 Beijing Forbidden City Sanlian Distribution Co.,Ltd"
24,英雄无语,,,动作,,2001-6-8,,中国,张鑫 Xin Zhang,http://www.cbooo.cn/p/1867226,于荣光 Ringo Yu;;;艾丽娅 Ailiya,;;;宁夏电影制片厂 Ningxia Film Studio,;;;中国电影集团公司 China Film Group Corporation
25,冲天飞豹,,,军事,,2001-1-5,,中国,王瑞 Rui Wang,http://www.cbooo.cn/p/1868707,胡军 Jun Hu;;;王学圻 Xueqi Wang;;;王乙竹 Yizhu Wang,;;;北京电影学院青年电影制片厂 Beijing Film Academy Youth Film Studio;;;国家新闻出版广电总局电影卫星频道节目制作中心 China Movie Channel SARFT,;;;中国电影集团公司 China Film Group Corporation
0,冲出亚马逊,,704.1,动作,102分钟,2002-7-25,2D,中国,宋业明 Yeming Song,http://www.cbooo.cn/p/1866431,侯勇 Yong Hou;;;穆立新 Lixin Mu,;;;八一电影制片厂 Bayi Film Studio;;;国家新闻出版广电总局电影卫星频道节目制作中心 China Movie Channel SARFT,
1,首席执行官,,232.0,剧情,,2002-10-21,2D,中国,吴天明 Wu Tianming,http://www.cbooo.cn/p/835,石凉 Shi Liang;;;马跃 Yue Ma;;;帕特里克·波查 Patrick Bauchau,;;;北京电影制片厂 Beijing Film Studio;;; Catmoon Productions;;; Fourth Chinese Film Group,";;;北京紫禁城三联影视发行有限公司 Beijing Forbidden City Sanlian Distribution Co.,Ltd"
2,寻枪,,903.1,剧情,USA:120,2002-5-5,2D,中国,陆川 Chuan Lu,http://www.cbooo.cn/p/5844,姜文 Wen Jiang;;;石凉 Shi Liang;;;刘小宁 Xiaoning Liu;;;宁静 Jing Ning;;;伍宇娟 Yujuan Wu;;;魏小平 Wei Xiaoping;;;潘勇 Pan Yong,";;;中国电影集团公司 China Film Group Corporation;;;华谊兄弟太合影视投资有限公司 Huayi Brothers&Taihe Entertainment  Co.,Ltd",";;; Columbia TriStar Films de Argentina;;; Columbia TriStar Home Video;;; Columbia TriStar Home Video;;; Columbia TriStar Italia;;; Columbia TriStar;;; Columbia TriStar;;; LK-TEL;;;索尼电影娱乐公司 Sony Pictures Entertainment;;;华谊兄弟传媒股份有限公司 Huayi Brothers Media Group Co.,Ltd;;;博纳影业集团股份有限公司 Bona Film Group"
3,英雄,1800.0,25001.0,武侠/动作,99,2002-12-24,2D,中国香港/中国,张艺谋 Yimou Zhang,http://www.cbooo.cn/p/1947,李连杰 Jet Li;;;梁朝伟 Tony Leung;;;张曼玉 Maggie Cheung;;;章子怡 Ziyi Zhang;;;陈道明 Daoming Chen;;;甄子丹 Donnie Yen;;;刘仲元 Zhongyuan Liu;;;郑天庸 Tianyong Zheng;;;常晓阳 Xiaoyang Chang;;;张亚坤 Yakun Zhang;;;马文华 Wenhua Ma;;;徐匡华 Kuanghua Xu;;;王守信 Shouxin Wang;;;黑子 Hei Zi;;;李磊 Lei Li;;;夏斌 Bin Xia;;;彭强 Qiang Peng;;;张毅 Zhang Yi;;;吴汉章 James Hong;;;伊丽莎白·宋 Elizabeth Sung;;;秦焰 Yan Qin,";;;北京新画面影业有限公司 Beijing New Pictures Co.,Ltd;;;精英娱乐有限公司 Elite Group Enterprises",";;;安乐影片有限公司 EDKO Film Co.,Ltd;;;北京新画面影业有限公司 Beijing New Pictures Co.,Ltd;;;二十世纪福克斯电影公司 20th Century Fox Film Corporation;;; Alliance Atlantis Communications;;; Buena Vista International;;; Columbia TriStar Home Video;;;康斯坦丁影业公司 Constantin Film AG;;; Dutch FilmWorks (DFW);;; Eagle Pictures;;; Gativideo;;; Highlight Film;;; Hollywood Classic Entertainment;;; Medyavizyon;;;米拉麦克斯 Miramax Films;;; Moonlight Films;;; Rialto Film AG;;; United International Pictures (UIP);;;美国环球影业公司 Universal Pictures (Universal Studios Inc. );;;华纳兄弟电影公司 Warner Bros Pictures"
4,致命的一击,,214.2,剧情,,2002-1-11,2D,中国,滕文骥 Wenji Teng,http://www.cbooo.cn/p/1867,赵亮 Liang Zhao;;;孙镱菲 Yifei Sun;;;陈建斌 Jianbin Chen,;;;北京电影制片厂 Beijing Film Studio,;;;中国电影集团公司 China Film Group Corporation
5,美丽的大脚,,260.4,农村/剧情,103,2002-11-1,2D,中国,杨亚洲 Yazhou Yang,http://www.cbooo.cn/p/2250,倪萍 Ping Ni;;;袁泉 Quan Yuan;;;孙海英 Haiying Sun;;;许亚军 Yajun Xu;;;戈治均 Zhijun Ge,;;; CTV-Media Studio Corporation,";;; Allumination Filmworks;;;陕西西影华谊电影发行有限公司 ShanXi XiYing HuaYi Film Distribution Co., LTD"
6,嘎达梅林,,70.1,动作,Canada:109,2002-7-4,2D,中国,冯小宁 Xiaoning Feng,http://www.cbooo.cn/p/3754,胡晓光 Xiaoguang Hu;;;李鸣 Ming Li;;;刘小薇 Xiaowei Liu;;;涂门 Men Tu,";;;北京紫禁城影业有限责任公司 Beijing Forbidden City Pictures Co.,Ltd",";;;北京紫禁城三联影视发行有限公司 Beijing Forbidden City Sanlian Distribution Co.,Ltd"
7,和你在一起,6.0,1200.0,剧情,116,2002-9-20,2D,中国/韩国,陈凯歌 Kaige Chen,http://www.cbooo.cn/p/403,唐韵 Yun Tang;;;刘佩琦 Liu Peiqi;;;陈红 Hong Chen;;;王志文 Zhiwen Wang;;;张琴 Qing Zhang;;;金慧莉 Hye-ri Kim;;;李传韵 Chuan-Yuan Li;;;唐如韫 Ru-Yun Tang;;;程前 Qian Cheng;;;陈凯歌 Kaige Chen,;;;21世纪盛凯影业 21 Century ShengKai Pictures;;; 21st Century Hero Film Investments;;; Big Bang Creative;;;中国电影集团公司 China Film Group Corporation;;;国家新闻出版广电总局电影卫星频道节目制作中心 China Movie Channel SARFT;;; Chinarunn Entertainment Inc.,;;; A-Film Distribution;;; A-Film Home Entertainment;;; CDI Films;;; Cine Qua Non Films;;; EuropaCorp. Distribution;;; Future Film;;; Geneon Entertainment;;; Italian International Film;;; Madman Entertainment;;;米高梅电影发行公司 Metro-Goldwyn-Mayer Distributing Corporation (MGM);;; Momentum Pictures;;; Moonstone Entertainment;;; Tobis StudioCanal;;; Transeuropa Video Entertainment (TVE);;;联美电影公司 United Artists;;;博纳影业集团股份有限公司 Bona Film Group
8,假装没感觉,,95.0,剧情,94,2002-10-7,,中国,彭小莲 Xiaolian Peng,http://www.cbooo.cn/p/5394,吕丽萍 Liping Lu;;;郑振瑶 Zhenyao Zheng,";;;上海电影（集团）有限公司 Shanghai Film Group Co.,Ltd",;;;上海电影股份有限公司影视发行分公司 Eastern Mordor
9,开往春天的地铁,,0.5,剧情/爱情,China:93,2002-5-28,2D,中国,张一白 Yibai Zhang,http://www.cbooo.cn/p/27,耿乐 Le Geng;;;张杨 Yang Zhang;;;柯蓝 Lan Ke;;;高圆圆 Yuanyuan Gao;;;徐静蕾 Jinglei Xu,;;; Electric Orange Entertainment,;;;博纳影业集团股份有限公司 Bona Film Group
10,世界上最疼我的那个人去了,,10.0,亲情/剧情,Japan:95,2002-10-28,2D,中国,马俪文 Liwen Ma,http://www.cbooo.cn/p/11085,黄素影 Suying Huang;;;斯琴高娃 Gaowa Siqin;;;龚蓓苾 Beibi Gong;;; 石维坚 Weijian Shi,";;;北京电影制片厂 Beijing Film Studio;;;北京紫禁城影业有限责任公司 Beijing Forbidden City Pictures Co.,Ltd",";;;北京联盟影业投资有限公司 Beijing Union Film Investment Co.,LTD"
11,天脉传奇,,2600.0,动作,China:103,2002-8-1,2D,中国/中国香港/中国台湾/日本,鲍德熹 Peter Pau,http://www.cbooo.cn/p/3502,杨紫琼 Michelle Yeoh;;;本·卓别林 Ben Chaplin;;;理查德·劳斯伯格 Richard Roxburgh;;;张卓楠 Brandon Chang;;;王宇婕 Margaret Wang;;;戴恩·库克 Dane Cook;;;曾江 Kenneth Tsang;;;海俊杰 Gabriel Harrison;;;赵文瑄 Winston Chao;;;寇振海 Zhenhai Kou;;;大旺堆 Dawangdui;;;郎雄 Xiong Lang;;;左小青 Xiaoqing Zuo,";;; Aruze Corporation;;;中国电影合作制片公司 China Film Co-Production Corporation;;; Han Entertainment;;;寰亚电影制作有限公司 Media Asia Film Production Co., Ltd.;;;电影神话有限公司 Movie Mythology Co.,Ltd;;; Pandasia Entertainment;;;天津电影制片厂 Tianjin Film Studio",;;; Gala Film Distribution;;; Mega Star Video Distribution;;; Buena Vista International;;; Central Partnership;;; Highlight Film;;; Lolafilms Distribuci&#243;n;;;米拉麦克斯 Miramax Films;;;日活 Ri Guo;;; RCV Film Distribution;;; Solar Films;;;博纳影业集团股份有限公司 Bona Film Group
