,name,first_week,boxoffice,type,duration,release_time,technology,location,director,director_link,actor,production_company,issuing_company
77,勇士,2036,3322.3,战争/军事,102,2016-10-14,2D,中国,宁海强 Haiqiang Ning,http://www.cbooo.cn/p/7539,李东学 Ethan Li;;;于小伟 Calvin;;;聂远 Yuan Nie;;;宋佳伦 Jialun Song;;;徐洪浩 Honghao Xu;;;王梓程 Zi-cheng Wang;;;郑好 Hao Zheng;;;曾肖龙 Xiaolong Zeng;;;林妙可 Miaoke Lin;;;宁宁 Ning Ning;;;江平 Ping Chiang;;;王斑 Ban Wang;;;刘之冰 Zhibing Liu;;;佟瑞欣 Ruixin Tong;;;刘劲 Jin Liu;;;陈大伟 Dawei Chen;;;冯国庆 Guoqing Feng,";;;和和（上海）影业有限公司 Hehe（Shanghai）Pictures Co.,Ltd;;; 北京新京报传媒有限责任公司 Beijing Xinjingbao Media Co.,Ltd;;; 国家新闻出版广电总局电影卫星频道节目制作中心 China Movie Channel SARFT;;;星光麦特传媒集团有限公司 Xingguang Maite Media Group Co.,Ltd;;; 北京中联华盟文化传媒投资有限公司 Beijing Zhonglian Huameng Media  Investment  Co.,Ltd",";;;八一电影制片厂 Bayi Film Studio;;;和和（上海）影业有限公司 Hehe（Shanghai）Pictures Co.,Ltd;;; 联瑞（上海）影业有限公司 Lian Ray Pictures Co.,Ltd;;;上海淘票票影视文化有限公司 Shanghai Tao Piao Piao Entertainment Co.,Ltd"
78,夜孔雀,2510,3318.5,爱情/剧情/文艺,84,2016-5-20,2D,中国/法国,戴思杰 Sijie Dai,http://www.cbooo.cn/p/8769,刘亦菲 Yifei Liu;;;刘烨 Ye Liu;;;余少群 Shaoqun Yu;;;黎明 Leon Lai,";;;上海尚世影业有限公司 SMG Pictures;;;海秀传媒(天津)有限公司 Haixiu Media (Tianjin) Co.,Ltd;;;大庆百湖影视传媒有限责任公司 Daqing Baihu Entertainment Co.,Ltd;;;法国乌迪亚纳制作有限公司 France WuDiYaNa Production Co., LTD;;;海秀娱乐（香港）有限公司 Haixiu Entertainment (Hongkong) Co.,Ltd",";;;珠江影业传媒股份有限公司 Pearl River Pictures Co., Ltd;;;上海尚世影业有限公司 SMG Pictures"
79,大唐玄奘,1825,3303.5,剧情/历史,115,2016-4-29,2D,中国,霍建起 Jianqi Huo,http://www.cbooo.cn/p/2355,黄晓明 Xiaoming Huang;;;徐峥 Zheng Xu;;;连凯 Andrew Lien;;;蒲巴甲 Purba Rgyal;;;罗晋 Jin Luo;;;谭凯 Kai Tan;;;曹操 Jonathan Kos Read;;;姜超 Chao Jiang;;;锦荣 Vivian Dawson;;;车晓 Xiao Che;;;楼佳悦 Jiayue Lou;;;汤镇业 Ken Tong;;;高兴 Xing Gao;;;赵文瑄 Winston Chao;;;赵亮 Liang Zhao;;;王惠春 Huichun Wang;;;方征 Zheng Famg;;;刘蔚森 Liu Weisen;;;周禹桐 Zhou Yutong;;;桑贤福 Sang Xianfu;;;黄德毅 Huang Deyi;;;索努·苏德 Sonu Sood;;;阿里·法扎尔 Ali Fazal;;;马坦娜·卡利米 Mandana Karimi,";;;北京心海迦源文化交流中心 Beijing Xinhai Jiayuan Communication Centre;;;国家新闻出版广电总局电影卫星频道节目制作中心 China Movie Channel SARFT;;;北京歌华有线电视网络股份有限公司 Bei Jing Ge Hua Wei Xian Dian Shi Wang Lao Gu Bin Co., LTD;;;华策影业（天津）有限公司 Huace Pictures (Tianjin) Co.,Ltd;;;北京环球浩翔影视文化传媒有限公司 Beijing Global Haoxiang Entertainment Co.,Ltd;;;   爱若思国际传媒有限公司 Airuosi International Media Co.,Ltd;;;中投中财基金管理有限公司 Zhongtou Zhongcai Fund management Co., Ltd;;;孔雀山文化传媒有限公司 Tianjin Kongqueshan Culture Communication Co.,Ltd",
80,恶人报喜,816,2754.3,喜剧,100,2016-1-23,2D,中国/中国香港,谷德昭 Vincent Kuk Tak Chiu,http://www.cbooo.cn/p/11253,吴镇宇 Francis Ng;;;江疏影 Maggie;;;郑中基 Ronald Cheng;;;余安安 Candice Yu;;;蔡瀚亿 Babyjohn Choi;;;官恩娜 Ella Koon;;;曾国祥 Kwok Cheung Tsang;;;林子聪 Chi Chung Lam;;;夏春秋 Chun Chau Ha;;;冯勉恒 Min Hun Fung;;;谭炳文 Tam Ping Man;;;张达明 Tat-Ming Cheung;;;李璨琛 Sam Lee;;;何超仪 Josie Ho;;;黄文慧 Man-Wai Wong;;;余慕莲 Miu Lin Chui;;;鲁芬 Fun Lo;;;林二汶 Eman Lam;;;赵硕之 Wylien Chiu;;;卢惠光 Kenneth Lo;;;田启文 Kai Man Tin;;;徐志雄 Xu Zhixiong;;;郭伟国 Guo Weiguo;;;郑文辉 Man-Fai Cheng;;;刘敬雯 Liu Jingwen;;;阮兆祥 Siu Cheung Yuen;;;周秀娜 Chrissie Chau;;;陈伟雄 Phat Chan;;;梁永杰 Liang Yongjie;;;谷德昭 Vincent Kuk Tak Chiu,";;;寰宇娱乐有限公司 Universe Entertainment;;;北京剧魔影业投资管理有限公司 Beijing Jumo Pictures Investment Co.Ltd;;;太阳娱乐文化有限公司 Sun Entertainment Culture Limited;;;广州长长影视文化有限公司 Guangzhou Changchang Entertainment Co.,Ltd;;; 浙江观鍳影业有限公司 Zhejiang Guanjian Pictures Co.,Ltd;;; 奥飞影业（香港）有限公司 Aofei Pictures（Hongkong）Co.,Ltd;;;  广东英明文化传播有限公司 Guangdong Yingming Culture Communication Co., Ltd.;;;浙江观鉴影业有限公司 Zhejiang Guanjian Pictures Co.,Ltd;;;  北京剧角映画文化传媒有限公司 Magilm Pictures",";;;寰宇纵横世纪电影发行（北京）有限公司 Huanyu Zongheng Shiji Film Distribution (Beijing) Co.,Ltd;;;珠江影业传媒股份有限公司 Pearl River Pictures Co., Ltd"
81,一切都好,2374,2623.4,喜剧/家庭,105,2016-1-1,2D,中国,张猛 Meng Zhang,http://www.cbooo.cn/p/1866282,张国立 Guoli Zhang;;;姚晨 Chen Yao;;;窦骁 Shawn Dou;;;叶一云 Qian-yun Ye;;;陈赫 Michael Chen;;;邬君梅 Vivian Wu;;;贾樟柯 Zhangke Jia;;;张译 Yi Zhang;;;张歆艺 Xinyi Zhang;;;范伟 Wei Fan;;;周冬雨 Dongyu Zhou;;;张一白 Yibai Zhang;;;王千源 Qianyuan Wang,";;;北京金盛信马影视文化有限公司 Beijing Jinsheng Xinma Entertainment Co.,Ltd;;;北京华谊兄弟创星娱乐科技股份有限公司 Beijing huayi create star entertainment technology co., Ltd;;;大河影业扬州有限公司 Dahe (Yangzhou) Flims;;;幸福蓝海影视文化集团股份有限公司 Omnijoi Media Corporation Co.,Ltd;;;北京微影时代科技有限公司 Beijing Weiying Shidai Technology Co.,Ltd;;;天津天马映像影业有限公司 Tianjin Tianma films Co,.Ltd.;;;天津突燃文化传媒有限公司 Tianjin Turan Media Co.,Ltd;;;  海南金盛信马影视文化有限公司 Hainan Jinsheng Xinma Entertainment Co.,Ltd;;;上海乐不思蜀影视有限公司 Shanghai Lebusishu Films Co,.Ltd.",";;;北京微影时代科技有限公司 Beijing Weiying Shidai Technology Co.,Ltd;;;北京金盛信马影视文化有限公司 Beijing Jinsheng Xinma Entertainment Co.,Ltd;;;联瑞（上海）影业有限公司 Lian Ray Pictures Co.,Ltd"
82,精灵王座,1743,2511.3,动画/爱情/冒险,90,2016-8-19,2D/3D,中国,宋岳峰 SongYueFeng,http://www.cbooo.cn/p/2023689,,,";;;北京光线影业有限公司 Beijing Enlight Pictures Co.,Ltd"
83,整形师·脸,175,2375.2,惊悚/悬疑,101,2016-5-20,2D,中国,黄军 Jun Huang,http://www.cbooo.cn/p/690441,浦蒲 Pu pu;;;李雯雯 WEnwen Li;;;方慧 Hui Fang;;;孙祖君 Zujun Sun;;;刘天佐 Tianzuo Liu,";;;中影动画产业有限公司 China Film Animation Co.,Ltd;;;上海煦世文化传媒有限公司 Shanghai Xushi Wenhua Media Co.,Ltd",";;;杭州寰耀影视文化传媒有限公司 Hangzhou Huanyao Entertainment Co.,Ltd;;; 四川卢米埃影业 CMG Limited;;;上海鑫岳影视传播股份有限公司 Xinyue Pictures Co.,Ltd;;;北京亚细亚影视制作发行有限公司 Beijing E Xi E Entertainment Production Co.,Ltd"
84,疯狂丑小鸭,337,2340.9,动画/冒险,80,2016-10-3,2D/3D,中国,"蒋叶峰 Yefeng Jiang,郑成峰 Chengfeng Zheng","http://www.cbooo.cn/p/2263948,http://www.cbooo.cn/p/2182510",,";;;合肥泰尚文化科技有限公司 Hefei Taishang Media Co.,Ltd",
85,勇士之门,1718,2283.6,动作/奇幻/冒险,108,2016-11-18,2D/3D,法国/中国,马蒂亚斯·霍恩 Matthias Hoene,http://www.cbooo.cn/p/2185935,赵又廷 Mark Chao;;;倪妮 Ni Ni;;;尤赖亚·谢尔顿 Uriah Shelton;;;吴镇宇 Francis Ng;;;戴夫·巴蒂斯塔 Dave Bautista;;;奚梦瑶 Ming Xi;;;西耶娜·盖尔利 Sienna Guillory;;;惠英红 Kara Hui;;;罗恩·斯穆安伯格 Ron Smoorenburg,";;;上海基美影业有限公司 Fundamental Films Co.,Ltd.;;;法国欧罗巴电影公司 Europa Corp.;;;北京基美影画广告有限公司 Bei Jing Ji Mei Ying Hua Advertising Co., LTD",";;;上海基美影业有限公司 Fundamental Films Co.,Ltd.;;;法国欧罗巴电影公司 Europa Corp."
86,冒牌卧底,1408,2231.2,喜剧/犯罪,90,2016-12-29,2D,中国,唐旭 Brand Tan,http://www.cbooo.cn/p/2253377,潘粤明 Yueming Pan;;;常远 Yuan Chang;;;房飞霖 Fang Feilin;;;林鹏 Peng Lin;;;高圣远 Archie Kao;;;吴樾 Yue Wu;;;谭凯 Kai Tan,";;;中广德丰文化投资有限公司 Zhongguang Defeng Culture Investment Co.,Ltd",";;;大地时代电影发行（北京）有限公司 Dadi Century Films Distribution（Beijing）Co.,Ltd"
